problem_id,subject,grade,type,category,level,url,semester,section,unit,topic,problem,correct_answers,explanation,hint,tags,index,image_path
E3-M-001,수학,3,단일응답 주관식,세 자리 수의 덧셈 계산,1,,,수와 연산,덧셈과 뺄셈,세 자리 수의 덧셈,345 + 276의 값을 구하시오.,621,345와 276을 더하면 621이 됩니다.,일의 자리부터 차례로 더해보세요.,"세 자리 수,덧셈",9f51f8f7-38a8-555b-bfaa-392d21820594,
E3-M-002,수학,3,단일응답 주관식,세 자리 수의 뺄셈 계산,1,,,수와 연산,덧셈과 뺄셈,세 자리 수의 뺄셈,503 - 278의 값을 구하시오.,225,503에서 278을 빼면 225입니다.,일의 자리부터 차례로 계산해보세요.,"세 자리 수,뺄셈",26052a1e-2dab-52f4-9e85-eeaf7bacb66a,
E3-M-003,수학,3,단일응답 주관식,세 자리 수 덧셈,1,,,수와 연산,덧셈과 뺄셈,세 자리 수의 덧셈,458 + 376의 값을 구하시오.,834,각 자리에서 받아올림을 하여 더합니다.,일의 자리부터 순서대로 더하세요.,"덧셈,받아올림",622ea9a6-164a-55a3-a41b-e98d4d184ee5,
E3-M-004,수학,3,단일응답 주관식,세 자리 수 뺄셈,1,,,수와 연산,덧셈과 뺄셈,세 자리 수의 뺄셈,503 − 278의 값을 구하시오.,225,받아내림을 하면 225입니다.,일의 자리부터 차례로 빼세요.,"뺄셈,받아내림",674f212d-ac4b-5aaa-9247-32c844b56a71,
E3-M-005,수학,3,단일응답 주관식,일상 계산,2,,,수와 연산,덧셈과 뺄셈,덧셈과 뺄셈 어림하기,"사과 240원, 배 360원입니다. 사과와 배를 함께 사면 얼마입니까?",600,240+360=600입니다.,더하기로 계산해보세요.,"덧셈,실생활",80858e43-29e2-5325-b4e7-1c5a29b883ce,
E3-M-006,수학,3,단일응답 주관식,연산 순서 이해,2,,,수와 연산,덧셈과 뺄셈,덧셈과 뺄셈 어림하기,120 + 80 − 50의 값을 구하시오.,150,덧셈과 뺄셈은 왼쪽에서 오른쪽으로 계산합니다.,순서대로 계산해보세요.,"덧셈,뺄셈",f263badc-8839-56a1-8599-9b02efc4f3f3,
E3-M-007,수학,3,단일선택 객관식,문장제 곱셈,2,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),연필 6자루가 한 묶음에 있습니다. 4묶음은 모두 몇 자루입니까?,24,"6×4=24로, 24자루입니다.",곱셈식을 세워서 풀어보세요.,"곱셈,문장제,응용",593d95e1-a046-51e4-8082-68283cb89bba,
E3-M-008,수학,3,단일선택 객관식,곱셈 계산,2,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),23 × 4의 값을 구하시오.,3,23 × 4 = 92입니다.,십의 자리와 일의 자리를 나누어 계산해보세요.,"곱셈,자리값",fdb4b312-953a-534c-a081-82a6a7cb899a,
E3-M-009,수학,3,단일선택 객관식,곱셈식의 의미,2,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),사과 5개씩 담긴 바구니가 3개 있습니다. 사과는 모두 몇 개인가요?,3,5×3=15이므로 사과는 15개입니다.,곱셈은 같은 수의 덧셈임을 떠올려보세요.,"곱셈,반복된 덧셈",230df77e-e3a1-5c8f-a61a-1540d9937dbd,
E3-M-010,수학,3,단일선택 객관식,곱셈 계산,1,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),"□×7=56일 때, □에 들어갈 수는?",3,8×7=56이므로 □=8입니다.,구구단 7단을 떠올리세요.,"곱셈,구구단",395901bb-6b88-5f6e-8eb3-d643a93c8839,
E3-M-011,수학,3,단일선택 객관식,곱셈의 의미,1,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),3×4와 4×3의 값은 어떻게 됩니까?,2,곱셈은 교환법칙이 성립합니다.,순서를 바꿔도 같음을 생각하세요.,"곱셈,교환법칙",ed78cb2c-5013-5e2b-9272-9a0261139458,
E3-M-012,수학,3,단일응답 주관식,곱셈 확장,2,,,수와 연산,곱셈,(세 자리 수)x(한 자리 수),2×3×4의 값을 구하시오.,24,"2×3=6, 6×4=24입니다.",순서대로 계산하세요.,"곱셈,세 수",7bfd26e6-0194-55b5-8185-55dffd115ced,
E3-M-013,수학,3,단일선택 객관식,구구단 계산,3,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),9×7의 값을 구하시오.,2,9×7=63입니다.,9단의 규칙을 떠올려보세요.,"구구단,곱셈",c3522bac-82b1-5fba-9d16-cf357c980f55,
E3-M-014,수학,3,단일응답 주관식,곱셈의 법칙,2,,,수와 연산,곱셈,(한 자리 수)×(두 자리 수),"4×7=28일 때, 7×4의 값은 얼마입니까?",28,곱셈은 순서를 바꿔도 같습니다.,교환법칙을 떠올리세요.,"곱셈,법칙",eb2927e2-fade-5092-b50a-6b895c55e142,
E3-M-015,수학,3,단일응답 주관식,곱셈 계산,2,,,수와 연산,곱셈,(세 자리 수)x(한 자리 수),124×3의 값을 구하시오.,372,일의 자리부터 순서대로 곱하세요.,자리올림을 주의하세요.,"곱셈,세 자리 수",181df01b-f3f8-54c9-8d00-0b992d4739af,
E3-M-016,수학,3,단일응답 주관식,곱셈 계산,2,,,수와 연산,곱셈,(세 자리 수)x(한 자리 수),206×3의 값을 구하시오.,618,일의 자리부터 순서대로 곱합니다.,자리올림을 주의하세요.,"곱셈,세 자리 수",6a94780e-265f-5dd2-9338-76621869f1fd,
E3-M-017,수학,3,단일선택 객관식,같게 나누기,2,,,수와 연산,나눗셈,똑같이 묶어 나누기,"12개의 사과를 3명에게 똑같이 나누어 주면, 한 사람은 몇 개를 받습니까?",2,"12 ÷ 3 = 4이므로, 한 사람당 4개씩 받습니다.",나눗셈은 똑같이 나누는 것을 의미합니다.,"나눗셈,같게 나누기",4249a843-c1c8-5067-85cb-c33ef2db264d,
E3-M-018,수학,3,단일응답 주관식,나머지가 있는 나눗셈,3,,,수와 연산,나눗셈,나머지가 있는 (몇십몇)÷(몇) 계산,14 ÷ 4의 몫과 나머지를 구하시오.,"몫 3, 나머지 2","4×3=12, 14-12=2 → 몫은 3, 나머지는 2입니다.",곱셈식으로 확인해보세요.,"나눗셈,나머지",2a61f84a-f8f0-566b-b2c2-e50042aaa668,
E3-M-019,수학,3,단일응답 주관식,나눗셈 추론,2,,,수와 연산,나눗셈,(몇십)÷(몇) 계산,42 ÷ 6의 값을 구하시오.,7,6×7=42입니다.,곱셈식으로 바꿔보세요.,"나눗셈,곱셈",59f5ddac-3d40-5066-b53c-6576a1f98696,
E3-M-020,수학,3,단일응답 주관식,나머지 계산,3,,,수와 연산,나눗셈,나머지가 있는 (몇십몇)÷(몇) 계산,15 ÷ 4의 몫과 나머지를 구하시오.,"몫 3, 나머지 3","4×3=12, 나머지는 3입니다.",4의 배수를 찾아보세요.,"나눗셈,나머지",40ac8ae8-9f16-551c-9d89-f86cc853ee4c,
E3-M-021,수학,3,단일응답 주관식,나눗셈의 의미 이해,2,,,수와 연산,나눗셈,똑같이 묶어 나누기,18개의 사탕을 6명에게 똑같이 나누면 한 사람당 몇 개입니까?,3,18÷6=3입니다.,나누어지는 수를 확인하세요.,"나눗셈,등분",26470556-48d6-51cf-bc85-8448dbafb5f3,
E3-M-022,수학,3,단일선택 객관식,몫 구하기,1,,,수와 연산,나눗셈,(몇십)÷(몇) 계산,15 ÷ 3의 값을 구하시오.,5,15를 3으로 나누면 5가 됩니다.,나눗셈은 같은 수만큼 나누는 것을 의미합니다.,"나눗셈,몫,기초연산",43395a0c-9a7e-571f-910c-df1d9e7c6053,
E3-M-023,수학,3,단일응답 주관식,나눗셈 이해,1,,,수와 연산,나눗셈,똑같이 묶어 나누기,20개의 사탕을 4명에게 똑같이 나누면 한 사람당 몇 개입니까?,5,20÷4=5입니다.,곱셈식으로 바꿔보세요.,"나눗셈,등분",22c5cacd-cf17-514d-b0d0-8ff8ef712fb6,
E3-M-024,수학,3,단일응답 주관식,나머지 계산,2,,,수와 연산,나눗셈,나머지가 있는 (몇십몇)÷(몇) 계산,22 ÷ 5의 몫과 나머지를 구하시오.,"몫 4, 나머지 2",5×4=20이므로 나머지는 2입니다.,배수를 활용해보세요.,"나눗셈,나머지",6a9482eb-1c1c-5066-96df-8f6e9dcfefb3,
E3-M-025,수학,3,단일응답 주관식,역연산,2,,,수와 연산,나눗셈,(몇십)÷(몇) 계산,"6×7=42일 때, 42÷7의 값은?",6,나눗셈은 곱셈의 반대입니다.,곱셈식과 비교해보세요.,"곱셈,나눗셈",ae371c17-2249-5ea5-8061-f01726e519fc,
E3-M-026,수학,3,단일응답 주관식,계산 능력,2,,,수와 연산,나눗셈,(몇십몇)÷(몇) 계산,84 ÷ 7의 값을 구하시오.,12,7×12=84입니다.,구구단 7단을 떠올려보세요.,"나눗셈,곱셈",f311c4d8-5f9a-59db-ab11-e44b7be322df,
E3-M-027,수학,3,단일응답 주관식,나눗셈의 의미,1,,,수와 연산,나눗셈,똑같이 묶어 나누기,30개의 사탕을 5명에게 똑같이 나누면 한 사람당 몇 개입니까?,6,30÷5=6입니다.,곱셈식으로 바꿔보세요.,"나눗셈,등분",a7f12d0b-ac00-5469-a43a-08b94a8c68f9,
E3-M-028,수학,3,단일응답 주관식,역연산 이해,2,,,수와 연산,나눗셈,(몇십몇)÷(몇) 계산,"9×4=36일 때, 36÷9의 값은?",4,나눗셈은 곱셈의 반대입니다.,곱셈식을 뒤집어보세요.,"나눗셈,곱셈",e5d62a18-5405-5138-98cc-59a54eda19c2,
E3-M-029,수학,3,단일응답 주관식,나머지 계산,2,,,수와 연산,나눗셈,나머지가 있는 (몇십몇)÷(몇) 계산,19 ÷ 4의 몫과 나머지를 구하시오.,"몫 4, 나머지 3","4×4=16, 나머지=3입니다.",4의 배수를 찾아보세요.,"나눗셈,나머지",5c6951fc-9f51-566d-841b-414c0e20d7a5,
E3-M-030,수학,3,단일선택 객관식,전체 중의 일부,1,,,수와 연산,분수와 소수,분수,피자를 4조각으로 나누어 1조각을 먹었습니다. 먹은 양은 얼마입니까?,3,4조각 중 1조각을 먹었으므로 1/4입니다.,분수는 전체를 같은 부분으로 나눈 것 중의 일부를 나타냅니다.,"분수,전체,일부",54db3ae3-774c-5498-af80-1df1532fe3dc,
E3-M-031,수학,3,단일선택 객관식,분수 크기 비교,2,,,수와 연산,분수와 소수,분수의 크기 비교,3/8과 5/8 중 더 큰 분수는 무엇입니까?,2,같은 분모일 때는 분자가 큰 분수가 더 큽니다.,분모가 같으면 분자를 비교하세요.,"분수비교,크기비교",c3f2bd5a-ee52-5a47-8d83-537ffdf5c2ff,
E3-M-032,수학,3,단일선택 객관식,삼각형의 특징,1,,,도형과 측정,평면도형,각,삼각형의 꼭짓점의 개수는 몇 개인가요?,2,삼각형은 꼭짓점이 3개 있습니다.,삼각형을 직접 그려보세요.,"삼각형,평면도형",b677b81d-746a-53f5-b41a-a5344ad5ff8e,
E3-M-033,수학,3,단일선택 객관식,사각형의 종류,2,,,도형과 측정,평면도형,정사각형,"모든 변의 길이가 같고, 네 각이 직각인 도형은 무엇인가요?",4,"정사각형은 네 변이 같고, 네 각이 직각입니다.",각의 크기와 변의 길이를 함께 생각해보세요.,"사각형,정사각형",8a14de48-b2cf-5c3e-95a9-4b227b8ee6ac,
E3-M-034,수학,3,단일선택 객관식,삼각형의 성질,1,,,도형과 측정,평면도형,각,삼각형의 변은 몇 개입니까?,2,삼각형은 변이 3개입니다.,이름 속 ‘삼’을 떠올려보세요.,"도형,삼각형",148da1ab-4aeb-5cf9-9db4-dc509b15d415,
E3-M-035,수학,3,단일선택 객관식,도형 분류,2,,,도형과 측정,평면도형,직사각형,네 각이 모두 직각인 사각형은?,3,직사각형은 네 각이 모두 직각입니다.,각도의 모양을 생각해보세요.,"도형,사각형",4093f332-0753-5b7d-be5b-212c98c63a53,
E3-M-036,수학,3,단일선택 객관식,평행 이해,2,,,도형과 측정,평면도형,"선분, 반직선, 직선",만나지 않고 같은 방향으로 뻗은 두 선을 무엇이라고 합니까?,2,평행선은 서로 만나지 않습니다.,도로의 양쪽선을 떠올려보세요.,"도형,평행선",2b10122f-c2d4-5c52-b1a5-998be3896052,
E3-M-037,수학,3,단일선택 객관식,선대칭 이해,3,,,도형과 측정,평면도형,"선분, 반직선, 직선",다음 중 선대칭 도형이 아닌 것은?,4,일반 삼각형은 대칭축이 없습니다.,접었을 때 겹치는지 생각해보세요.,"도형,대칭",5aca626a-1824-5e3c-9a61-06568de38546,
E3-M-038,수학,3,단일선택 객관식,사다리꼴의 특징,2,,,도형과 측정,평면도형,각,사다리꼴은 몇 쌍의 평행한 변을 가집니까?,2,사다리꼴은 한 쌍의 평행한 변을 갖습니다.,평행한 변을 찾아보세요.,"도형,사다리꼴",2afa1663-8507-5764-8c4e-ee7a64f5db7c,
E3-M-039,수학,3,단일선택 객관식,도형의 성질,2,,,도형과 측정,평면도형,각,평행사변형의 마주 보는 변은 어떤 관계입니까?,1,평행사변형의 마주 보는 변은 길이가 같습니다.,변의 길이를 비교해보세요.,"도형,평행사변형",e9c2cf39-3e12-5e8a-8570-1c3f0c71e302,
E3-M-040,수학,3,단일선택 객관식,삼각형 구분,2,,,도형과 측정,평면도형,직각삼각형,한 각이 90°인 삼각형은 무엇입니까?,3,한 각이 90°이면 직각삼각형입니다.,각의 크기를 비교해보세요.,"삼각형,직각",9fee404d-4700-54f8-8df9-67d6bce7ce14,
E3-M-041,수학,3,단일선택 객관식,모서리 개수 구하기,2,,,도형과 측정,평면도형,직사각형,직육면체의 모서리의 개수는 몇 개인가요?,3,직육면체에는 모서리가 12개 있습니다.,실제 상자 모양을 떠올려보세요.,"입체도형,직육면체",3f929aaa-2d93-5fe2-9e90-e763e069de9a,
E3-M-042,수학,3,단일선택 객관식,면의 개수 구하기,2,,,도형과 측정,평면도형,직사각형,직육면체의 면은 몇 개인가요?,6,직육면체는 6개의 면으로 이루어져 있습니다.,상자 모양을 떠올려보세요.,"입체도형,면,직육면체",3ce7e4ba-60d7-528d-826e-29726f22e881,
E3-M-043,수학,3,단일선택 객관식,원의 중심 이해,1,,,도형과 측정,원,"원의 중심, 반지름, 지름",원에서 모든 점과 같은 거리에 있는 점은 무엇입니까?,1,중심은 원의 한가운데 점입니다.,원의 모양을 떠올려보세요.,"도형,원",a58de35b-a4c0-5fae-b2df-cd38322fa94b,
E3-M-044,수학,3,단일선택 객관식,원의 성질,2,,,도형과 측정,원,"원의 중심, 반지름, 지름",원의 중심에서 원 위의 점까지의 거리를 무엇이라고 하나요?,2,중심에서 원 위의 점까지의 거리가 반지름입니다.,원의 한가운데에서 점까지 선을 그려보세요.,"원,반지름",ddbe005f-990b-56c8-bc90-1050b8a82da6,
